sample_id,split,category,name,description,brand,model,serial_number,batch_no,is_used,is_refurbished,battery_health,accessory_status,ccc_number,energy_level,rohs_status,inspection_agency,inspection_conclusion,battery_safety_passed,charger_safety_passed,appearance_grade,functional_test_passed,repair_history_declared,report_text,risk_level,audit_label,reason_codes
HC-MOB-0032,holdout,mobile_phone,远航MOB-35,远航MOB-35电子设备，卖家描述为可正常使用。,远航,MOB-35,SN-MOB-000032,H2026-0032,false,false,91,full,,Level 1,limited,深圳质检中心,conditional_pass,true,true,,true,,"Summary: device passed basic checks, Final note: manual review required before release.",medium,REVIEW,
HC-MOB-0033,holdout,mobile_phone,星河MOB-36,官方整备机，星河MOB-36电子设备，卖家描述为可正常使用。,星河,MOB-36,SN-MOB-000033,H2027-0033,false,true,91,none,,Level 1,compliant,第三方送检,conditional_pass,true,true,A,true,false,报告正文未直接写明翻新，仅备注更换外壳与电池，建议人工判断披露是否充分。,medium,FAIL,undisclosed_refurbished_status
HC-MOB-0034,holdout,mobile_phone,远航MOB-37,远航MOB-37电子设备，卖家描述为可正常使用。,远航,MOB-37,SN-MOB-000034,H2026-0034,false,false,91,partial,,Level 2,unknown,平台复核,conditional_pass,false,true,,true,,基础功能通过，但部分安全指标描述模糊，最终意见改为建议人工复核后再决定是否放行。,medium,REVIEW,battery_safety_concern
HC-MOB-0035,holdout,mobile_phone,远航MOB-38,卖家描述较短：远航MOB-38可正常使用。,远航,MOB-38,SN-MOB-000035,H2027-0035,false,false,91,partial,,Level 1,limited,第三方送检,pass,true,true,,true,,检测页摘要：合格。附页参数正常，建议按常规流程上架。,low,PASS,
HC-MOB-0036,holdout,mobile_phone,远航MOB-39,远航MOB-39电子设备，卖家描述为可正常使用。,远航,MOB-39,SN-MOB-000036,H2026-0036,false,false,91,full,,Level 1,compliant,第三方送检,fail,false,false,,true,,初检摘要写明样机功能正常，但复核结论指出关键证书信息无法核验。,high,FAIL,battery_safety_concern
HC-MOB-0037,holdout,mobile_phone,远航MOB-40,远航MOB-40电子设备，卖家描述为可正常使用。,远航,MOB-40,SN-MOB-0,H2027-0037,false,false,91,full,,Level 2,limited,第三方送检,conditional_pass,true,true,,true,,检测摘录显示功能基本正常，但设备识别码仅保留前半段，需人工核验。,medium,REVIEW,
HC-MOB-0038,holdout,mobile_phone,远航MOB-41,卖家宣称全新未拆封，远航MOB-41电子设备，卖家描述为可正常使用。,远航,MOB-41,SN-MOB-000038,H2026-0038,false,true,91,full,,Level 3,compliant,平台复核,fail,true,true,A,true,false,检测页记录存在拆修痕迹，整机可开机，但销售描述与实物状态不一致。,high,FAIL,undisclosed_refurbished_status
HC-MOB-0039,holdout,mobile_phone,星河MOB-42,星河MOB-42电子设备，卖家描述为可正常使用。,星河,MOB-42,SN-MOB-000039,H2027-0039,false,false,91,full,,Level 3,limited,深圳质检中心,conditional_pass,true,true,,true,,"Summary: device passed basic checks, Final note: manual review required before release.",medium,REVIEW,
HC-MOB-0040,holdout,mobile_phone,星河MOB-43,官方整备机，星河MOB-43电子设备，卖家描述为可正常使用。,星河,MOB-43,SN-MOB-000040,H2026-0040,false,true,91,none,,Level 1,unknown,第三方送检,conditional_pass,true,true,A,true,false,报告正文未直接写明翻新，仅备注更换外壳与电池，建议人工判断披露是否充分。,medium,FAIL,undisclosed_refurbished_status
HC-MOB-0041,holdout,mobile_phone,星河MOB-44,星河MOB-44电子设备，卖家描述为可正常使用。,星河,MOB-44,SN-MOB-000041,H2027-0041,false,false,91,none,,Level 2,limited,平台复核,conditional_pass,true,true,,true,,基础功能通过，但部分安全指标描述模糊，但备注项较多，需要结合附件人工判断。,medium,REVIEW,
HC-MOB-0042,holdout,mobile_phone,远航MOB-45,卖家描述较短：远航MOB-45可正常使用。,远航,MOB-45,SN-MOB-000042,H2026-0042,false,false,91,partial,,Level 3,limited,第三方送检,pass,true,true,,true,,检测页摘要：合格。附页参数正常，建议按常规流程上架。,low,PASS,
HC-MOB-0043,holdout,mobile_phone,星河MOB-46,星河MOB-46电子设备，卖家描述为可正常使用。,星河,MOB-46,SN-MOB-000043,H2027-0043,false,false,91,none,,Level 1,compliant,第三方送检,fail,false,false,,true,,初检摘要写明样机功能正常，但后续复检备注明确建议暂缓上架。,high,FAIL,battery_safety_concern
HC-MOB-0044,holdout,mobile_phone,曜石MOB-47,曜石MOB-47电子设备，卖家描述为可正常使用。,曜石,MOB-47,SN-MOB-0,H2026-0044,false,false,91,full,,Level 3,compliant,深圳质检中心,conditional_pass,true,true,,true,,检测摘录显示功能基本正常，但设备识别码仅保留前半段，需人工核验。,medium,REVIEW,
HC-MOB-0045,holdout,mobile_phone,曜石MOB-48,卖家宣称全新未拆封，曜石MOB-48电子设备，卖家描述为可正常使用。,曜石,MOB-48,SN-MOB-000045,H2027-0045,false,true,91,none,,Level 2,compliant,深圳质检中心,fail,true,true,A,true,false,检测页记录存在拆修痕迹，整机可开机，但销售描述与实物状态不一致。,high,FAIL,undisclosed_refurbished_status
HC-MOB-0046,holdout,mobile_phone,星河MOB-49,星河MOB-49电子设备，卖家描述为可正常使用。,星河,MOB-49,SN-MOB-000046,H2026-0046,false,false,91,full,,Level 2,compliant,深圳质检中心,conditional_pass,true,true,,true,,"Summary: device passed basic checks, Final note: manual review required before release.",medium,REVIEW,
HC-MOB-0047,holdout,mobile_phone,星河MOB-50,官方整备机，星河MOB-50电子设备，卖家描述为可正常使用。,星河,MOB-50,SN-MOB-000047,H2027-0047,false,true,91,none,,Level 2,unknown,深圳质检中心,conditional_pass,true,true,B,true,true,报告正文未直接写明翻新，仅备注更换外壳与电池，建议人工判断披露是否充分。,medium,REVIEW,
HC-MOB-0048,holdout,mobile_phone,曜石MOB-51,曜石MOB-51电子设备，卖家描述为可正常使用。,曜石,MOB-51,SN-MOB-000048,H2026-0048,false,false,91,partial,,Level 3,limited,第三方送检,conditional_pass,false,false,,true,,基础功能通过，但部分安全指标描述模糊，最终意见改为建议人工复核后再决定是否放行。,medium,REVIEW,battery_safety_concern
HC-LAP-0049,holdout,laptop,灵曜LAP-52,卖家描述较短：灵曜LAP-52可正常使用。,灵曜,LAP-52,SN-LAP-000049,H2027-0049,false,false,91,full,,Level 1,unknown,深圳质检中心,pass,true,true,,true,,检测页摘要：合格。附页参数正常，建议按常规流程上架。,low,PASS,
HC-LAP-0050,holdout,laptop,灵曜LAP-53,灵曜LAP-53电子设备，卖家描述为可正常使用。,灵曜,LAP-53,SN-LAP-000050,H2026-0050,false,false,91,full,,Level 2,compliant,平台复核,fail,false,false,,true,,初检摘要写明样机功能正常，但复核页补充说明存在持续发热问题。,high,FAIL,battery_safety_concern
HC-LAP-0051,holdout,laptop,灵曜LAP-54,灵曜LAP-54电子设备，卖家描述为可正常使用。,灵曜,LAP-54,SN-LAP-0,H2027-0051,false,false,91,full,,Level 2,unknown,深圳质检中心,conditional_pass,true,true,,true,,检测摘录显示功能基本正常，但设备识别码仅保留前半段，需人工核验。,medium,REVIEW,
HC-LAP-0052,holdout,laptop,灵曜LAP-55,卖家宣称全新未拆封，灵曜LAP-55电子设备，卖家描述为可正常使用。,灵曜,LAP-55,SN-LAP-000052,H2026-0052,false,true,91,full,,Level 2,limited,深圳质检中心,fail,true,true,B,true,false,检测页记录存在拆修痕迹，整机可开机，但销售描述与实物状态不一致。,high,FAIL,undisclosed_refurbished_status
HC-LAP-0053,holdout,laptop,极光LAP-56,极光LAP-56电子设备，卖家描述为可正常使用。,极光,LAP-56,SN-LAP-000053,H2027-0053,false,false,91,partial,,Level 1,compliant,第三方送检,conditional_pass,true,true,,true,,"Summary: device passed basic checks, Final note: manual review required before release.",medium,REVIEW,
HC-LAP-0054,holdout,laptop,灵曜LAP-57,官方整备机，灵曜LAP-57电子设备，卖家描述为可正常使用。,灵曜,LAP-57,SN-LAP-000054,H2026-0054,false,true,91,partial,,Level 2,compliant,深圳质检中心,conditional_pass,true,true,B,true,false,报告正文未直接写明翻新，仅备注更换外壳与电池，建议人工判断披露是否充分。,medium,FAIL,undisclosed_refurbished_status
HC-LAP-0055,holdout,laptop,灵曜LAP-58,灵曜LAP-58电子设备，卖家描述为可正常使用。,灵曜,LAP-58,SN-LAP-000055,H2027-0055,false,false,91,full,,Level 3,unknown,平台复核,conditional_pass,false,false,,true,,基础功能通过，但部分安全指标描述模糊，最终意见改为建议人工复核后再决定是否放行。,medium,REVIEW,battery_safety_concern
HC-LAP-0056,holdout,laptop,灵曜LAP-59,卖家描述较短：灵曜LAP-59可正常使用。,灵曜,LAP-59,SN-LAP-000056,H2026-0056,false,false,91,partial,,Level 2,limited,第三方送检,pass,true,true,,true,,检测页摘要：合格。附页参数正常，建议按常规流程上架。,low,PASS,
HC-LAP-0057,holdout,laptop,云锋LAP-60,云锋LAP-60电子设备，卖家描述为可正常使用。,云锋,LAP-60,SN-LAP-000057,H2027-0057,false,false,91,partial,,Level 3,unknown,深圳质检中心,fail,false,false,,true,,卖家提供的附件摘要称设备可正常使用，但复核结论指出关键证书信息无法核验。,high,FAIL,battery_safety_concern
HC-LAP-0058,holdout,laptop,极光LAP-61,极光LAP-61电子设备，卖家描述为可正常使用。,极光,LAP-61,SN-LAP-0,H2026-0058,false,false,91,full,,Level 1,unknown,第三方送检,conditional_pass,true,true,,true,,检测摘录显示功能基本正常，但设备识别码仅保留前半段，需人工核验。,medium,REVIEW,
HC-LAP-0059,holdout,laptop,极光LAP-62,卖家宣称全新未拆封，极光LAP-62电子设备，卖家描述为可正常使用。,极光,LAP-62,SN-LAP-000059,H2027-0059,false,true,91,full,,Level 1,compliant,深圳质检中心,fail,true,true,A,true,false,检测页记录存在拆修痕迹，整机可开机，但销售描述与实物状态不一致。,high,FAIL,undisclosed_refurbished_status
HC-LAP-0060,holdout,laptop,云锋LAP-63,云锋LAP-63电子设备，卖家描述为可正常使用。,云锋,LAP-63,SN-LAP-000060,H2026-0060,false,false,91,full,,Level 3,unknown,平台复核,conditional_pass,true,true,,true,,"Summary: device passed basic checks, Final note: manual review required before release.",medium,REVIEW,
HC-LAP-0061,holdout,laptop,极光LAP-64,官方整备机，极光LAP-64电子设备，卖家描述为可正常使用。,极光,LAP-64,SN-LAP-000061,H2027-0061,false,true,91,full,,Level 3,unknown,平台复核,conditional_pass,true,true,A,true,false,报告正文未直接写明翻新，仅备注更换外壳与电池，建议人工判断披露是否充分。,medium,FAIL,undisclosed_refurbished_status
HC-LAP-0062,holdout,laptop,灵曜LAP-65,灵曜LAP-65电子设备，卖家描述为可正常使用。,灵曜,LAP-65,SN-LAP-000062,H2026-0062,false,false,91,full,,Level 3,limited,第三方送检,conditional_pass,false,false,,true,,基础功能通过，但部分安全指标描述模糊，后页注明可继续流通但必须人工核查披露内容。,medium,REVIEW,battery_safety_concern
HC-LAP-0063,holdout,laptop,极光LAP-66,卖家描述较短：极光LAP-66可正常使用。,极光,LAP-66,SN-LAP-000063,H2027-0063,false,false,91,full,,Level 1,unknown,第三方送检,pass,true,true,,true,,检测页摘要：合格。附页参数正常，建议按常规流程上架。,low,PASS,
HC-LAP-0064,holdout,laptop,灵曜LAP-67,灵曜LAP-67电子设备，卖家描述为可正常使用。,灵曜,LAP-67,SN-LAP-000064,H2026-0064,false,false,91,none,,Level 2,unknown,平台复核,fail,false,false,,true,,卖家提供的附件摘要称设备可正常使用，但后续复检备注明确建议暂缓上架。,high,FAIL,battery_safety_concern
HC-LAP-0065,holdout,laptop,极光LAP-68,极光LAP-68电子设备，卖家描述为可正常使用。,极光,LAP-68,SN-LAP-0,H2027-0065,false,false,91,none,,Level 3,compliant,平台复核,conditional_pass,true,true,,true,,检测摘录显示功能基本正常，但设备识别码仅保留前半段，需人工核验。,medium,REVIEW,
HC-LAP-0066,holdout,laptop,云锋LAP-69,卖家宣称全新未拆封，云锋LAP-69电子设备，卖家描述为可正常使用。,云锋,LAP-69,SN-LAP-000066,H2026-0066,false,true,91,partial,,Level 3,unknown,深圳质检中心,fail,true,true,A,true,false,检测页记录存在拆修痕迹，整机可开机，但销售描述与实物状态不一致。,high,FAIL,undisclosed_refurbished_status
HC-LAP-0067,holdout,laptop,灵曜LAP-70,灵曜LAP-70电子设备，卖家描述为可正常使用。,灵曜,LAP-70,SN-LAP-000067,H2027-0067,false,false,91,full,,Level 2,compliant,第三方送检,conditional_pass,true,true,,true,,"Summary: device passed basic checks, Supplement: model code mismatch observed in appendix.",medium,REVIEW,
HC-LAP-0068,holdout,laptop,极光LAP-71,官方整备机，极光LAP-71电子设备，卖家描述为可正常使用。,极光,LAP-71,SN-LAP-000068,H2026-0068,false,true,91,full,,Level 2,compliant,平台复核,conditional_pass,true,true,A,true,true,报告正文未直接写明翻新，仅备注更换外壳与电池，建议人工判断披露是否充分。,medium,REVIEW,
HC-LAP-0069,holdout,laptop,极光LAP-72,极光LAP-72电子设备，卖家描述为可正常使用。,极光,LAP-72,SN-LAP-000069,H2027-0069,false,false,91,full,,Level 1,unknown,第三方送检,conditional_pass,true,false,,true,,基础功能通过，但部分安全指标描述模糊，后页注明可继续流通但必须人工核查披露内容。,medium,REVIEW,battery_safety_concern
HC-LAP-0070,holdout,laptop,极光LAP-73,卖家描述较短：极光LAP-73可正常使用。,极光,LAP-73,SN-LAP-000070,H2026-0070,false,false,91,full,,Level 2,compliant,第三方送检,pass,true,true,,true,,检测页摘要：合格。附页参数正常，建议按常规流程上架。,low,PASS,
HC-LAP-0071,holdout,laptop,极光LAP-74,极光LAP-74电子设备，卖家描述为可正常使用。,极光,LAP-74,SN-LAP-000071,H2027-0071,false,false,91,none,,Level 1,compliant,平台复核,fail,false,false,,true,,送检记录第一页显示外观与基本功能合格，但复核页补充说明存在持续发热问题。,high,FAIL,battery_safety_concern
HC-LAP-0072,holdout,laptop,灵曜LAP-75,灵曜LAP-75电子设备，卖家描述为可正常使用。,灵曜,LAP-75,SN-LAP-0,H2026-0072,false,false,91,full,,Level 1,compliant,平台复核,conditional_pass,true,true,,true,,检测摘录显示功能基本正常，但设备识别码仅保留前半段，需人工核验。,medium,REVIEW,
HC-LAP-0073,holdout,laptop,灵曜LAP-76,卖家宣称全新未拆封，灵曜LAP-76电子设备，卖家描述为可正常使用。,灵曜,LAP-76,SN-LAP-000073,H2027-0073,false,true,91,full,,Level 3,limited,第三方送检,fail,true,true,B,true,false,检测页记录存在拆修痕迹，整机可开机，但销售描述与实物状态不一致。,high,FAIL,undisclosed_refurbished_status
HC-LAP-0074,holdout,laptop,云锋LAP-77,云锋LAP-77电子设备，卖家描述为可正常使用。,云锋,LAP-77,SN-LAP-000074,H2026-0074,false,false,91,none,,Level 3,limited,第三方送检,conditional_pass,true,true,,true,,"Summary: device passed basic checks, Final note: manual review required before release.",medium,REVIEW,
HC-LAP-0075,holdout,laptop,灵曜LAP-78,官方整备机，灵曜LAP-78电子设备，卖家描述为可正常使用。,灵曜,LAP-78,SN-LAP-000075,H2027-0075,false,true,91,none,,Level 2,compliant,深圳质检中心,conditional_pass,true,true,A,true,true,报告正文未直接写明翻新，仅备注更换外壳与电池，建议人工判断披露是否充分。,medium,REVIEW,
HC-LAP-0076,holdout,laptop,云锋LAP-79,云锋LAP-79电子设备，卖家描述为可正常使用。,云锋,LAP-79,SN-LAP-000076,H2026-0076,false,false,91,full,,Level 3,compliant,深圳质检中心,conditional_pass,false,false,,true,,基础功能通过，但部分安全指标描述模糊，最终意见改为建议人工复核后再决定是否放行。,medium,REVIEW,battery_safety_concern
HC-LAP-0077,holdout,laptop,极光LAP-80,卖家描述较短：极光LAP-80可正常使用。,极光,LAP-80,SN-LAP-000077,H2027-0077,false,false,91,full,,Level 3,limited,平台复核,pass,true,true,,true,,检测页摘要：合格。附页参数正常，建议按常规流程上架。,low,PASS,
HC-LAP-0078,holdout,laptop,云锋LAP-81,云锋LAP-81电子设备，卖家描述为可正常使用。,云锋,LAP-81,SN-LAP-000078,H2026-0078,false,false,91,full,,Level 2,unknown,第三方送检,fail,false,false,,true,,初检摘要写明样机功能正常，但后续复检备注明确建议暂缓上架。,high,FAIL,battery_safety_concern
HC-LAP-0079,holdout,laptop,极光LAP-82,极光LAP-82电子设备，卖家描述为可正常使用。,极光,LAP-82,SN-LAP-0,H2027-0079,false,false,91,partial,,Level 1,unknown,深圳质检中心,conditional_pass,true,true,,true,,检测摘录显示功能基本正常，但设备识别码仅保留前半段，需人工核验。,medium,REVIEW,
HC-LAP-0080,holdout,laptop,极光LAP-83,卖家宣称全新未拆封，极光LAP-83电子设备，卖家描述为可正常使用。,极光,LAP-83,SN-LAP-000080,H2026-0080,false,true,91,none,,Level 1,unknown,深圳质检中心,fail,true,true,B,true,false,检测页记录存在拆修痕迹，整机可开机，但销售描述与实物状态不一致。,high,FAIL,undisclosed_refurbished_status
